"Gene.name" "Chromosome.scaffold.name" "Gene.start..bp." "Gene.end..bp." "p_values" "p_values_BH" "p_values_bf"
"ENSG00000128923" "MINDY2" 15 58771192 58861900 1 1 1
"ENSG00000128928" "IVD" 15 40405485 40435947 1 1 1
"ENSG00000128944" "KNSTRN" 15 40382721 40394288 1 1 1
"ENSG00000128951" "DUT" 15 48331011 48343373 1 1 1
"ENSG00000128965" "CHAC1" 15 40952962 40956512 0.787446982639546 1 1
"ENSG00000128973" "CLN6" 15 68206992 68257211 1 1 1
"ENSG00000128989" "ARPP19" 15 52547045 52569883 1 1 1
"ENSG00000129003" "VPS13C" 15 61852389 62060473 1 1 1
"ENSG00000129007" "CALML4" 15 68190705 68206079 0.0232681534217115 0.134491080093647 1
"ENSG00000129009" "ISLR" 15 74173710 74176872 0.377460432757469 1 1
"ENSG00000129028" "THAP10" 15 70881342 70892433 2.73424318862537e-05 0.000382999319920211 0.510155094133722
"ENSG00000129038" "LOXL1" 15 73925989 73952137 0.000100283781202849 0.00120173075766395 1
"ENSG00000129048" "ACKR4" 3 132597270 132618967 0.00160048832400351 0.013744798188043 1
"ENSG00000129055" "ANAPC13" 3 134477706 134486716 1 1 1
"ENSG00000129071" "MBD4" 3 129430947 129440179 1 1 1
"ENSG00000129083" "COPB1" 11 14443440 14500027 1 1 1
"ENSG00000129084" "PSMA1" 11 14504211 14643635 1 1 1
"ENSG00000129103" "SUMF2" 7 56064002 56080670 1 1 1
"ENSG00000129116" "PALLD" 4 168497052 168928457 4.1998083628865e-11 2.7591557899555e-09 7.83600244347363e-07
"ENSG00000129128" "SPCS3" 4 176319966 176332245 1 1 1
"ENSG00000129151" "BBOX1" 11 27040725 27127809 0.0413067266851671 0.218390735758529 1
"ENSG00000129152" "MYOD1" 11 17719571 17722136 1 1 1
"ENSG00000129158" "SERGEF" 11 17788048 18013047 1 1 1
"ENSG00000129159" "KCNC1" 11 17734774 17856804 1 1 1
"ENSG00000129167" "TPH1" 11 18017555 18046269 1 1 1
"ENSG00000129170" "CSRP3" 11 19182030 19210571 1 1 1
"ENSG00000129173" "E2F8" 11 19224063 19241620 7.21083236302733e-09 2.60735872537527e-07 0.000134539710229364
"ENSG00000129187" "DCTD" 4 182890060 182917936 1 1 1
"ENSG00000129194" "SOX15" 17 7588178 7590094 1 1 1
"ENSG00000129195" "PIMREG" 17 6444441 6451469 0.000172925602380328 0.00195660757380968 1
"ENSG00000129197" "RPAIN" 17 5419641 5432877 1 1 1
"ENSG00000129204" "USP6" 17 5116032 5175034 0.455019552917952 1 1
"ENSG00000129214" "SHBG" 17 7613946 7633382 1 1 1
"ENSG00000129219" "PLD2" 17 4807152 4823434 1 1 1
"ENSG00000129221" "AIPL1" 17 6393693 6435199 1 1 1
"ENSG00000129226" "CD68" 17 7579491 7582111 0.73979584802228 1 1
"ENSG00000129235" "TXNDC17" 17 6640985 6644541 1 1 1
"ENSG00000129244" "ATP1B2" 17 7646627 7657770 0.665395445863576 1 1
"ENSG00000129245" "FXR2" 17 7591230 7614897 1 1 1
"ENSG00000129250" "KIF1C" 17 4997950 5028401 1 1 1
"ENSG00000129255" "MPDU1" 17 7583529 7592789 1 1 1
"ENSG00000129292" "PHF20L1" 8 132775358 132848807 1 1 1
"ENSG00000129295" "DNAAF11" 8 132570416 132675592 0.500231890262208 1 1
"ENSG00000129315" "CCNT1" 12 48688458 48716998 1 1 1
"ENSG00000129317" "PUS7L" 12 43718992 43758793 1 1 1
"ENSG00000129347" "KRI1" 19 10553085 10566031 1 1 1
"ENSG00000129351" "ILF3" 19 10654304 10692400 1 1 1
"ENSG00000129353" "SLC44A2" 19 10602457 10644557 0.396063709658929 1 1
"ENSG00000129354" "AP1M2" 19 10572671 10587315 0.524153948578162 1 1
"ENSG00000129355" "CDKN2D" 19 10566460 10569059 1.1738484601954e-07 3.0675311147424e-06 0.00219016645703258
"ENSG00000129422" "MTUS1" 8 17643795 17801094 0.011180879272751 0.0724350157885377 1
"ENSG00000129437" "KLK14" 19 51077495 51084245 1 1 1
"ENSG00000129450" "SIGLEC9" 19 51124906 51136651 0.294305107833008 1 1
"ENSG00000129451" "KLK10" 19 51012739 51020175 1 1 1
"ENSG00000129455" "KLK8" 19 50996007 51002711 1 1 1
"ENSG00000129460" "NGDN" 14 23469679 23509862 1 1 1
"ENSG00000129465" "RIPK3" 14 24336025 24340022 1 1 1
"ENSG00000129467" "ADCY4" 14 24318349 24335093 0.0358525663887223 0.193670290585055 1
"ENSG00000129472" "RAB2B" 14 21459020 21476960 1 1 1
"ENSG00000129473" "BCL2L2" 14 23298790 23311751 1 1 1
"ENSG00000129474" "AJUBA" 14 22971177 22982551 0.003126117407616 0.0242928357314866 1
"ENSG00000129480" "DTD2" 14 31446036 31457506 1 1 1
"ENSG00000129484" "PARP2" 14 20343615 20357904 1 1 1
"ENSG00000129493" "HEATR5A" 14 31291788 31420550 1 1 1
"ENSG00000129514" "FOXA1" 14 37589552 37596059 5.03569646468454e-14 7.33933477120515e-12 9.39560246380842e-10
"ENSG00000129515" "SNX6" 14 34561093 34630160 1 1 1
"ENSG00000129518" "EAPP" 14 34515938 34539704 1 1 1
"ENSG00000129521" "EGLN3" 14 33924227 34462774 0.0258330077980196 0.147173209006244 1
"ENSG00000129534" "MIS18BP1" 14 45203190 45253540 1 1 1
"ENSG00000129535" "NRL" 14 24078662 24115010 1 1 1
"ENSG00000129538" "RNASE1" 14 20801228 20802855 0.11396150311789 0.50338393114905 1
"ENSG00000129559" "NEDD8" 14 24216857 24232367 1 1 1
"ENSG00000129562" "DAD1" 14 22564907 22589224 1 1 1
"ENSG00000129566" "TEP1" 14 20365667 20413501 1 1 1
"ENSG00000129595" "EPB41L4A" 5 112142441 112419313 1.25938884875427e-11 9.51322961135915e-10 2.34976771400571e-07
"ENSG00000129596" "CDO1" 5 115804733 115816659 0.169591085926837 0.696353539001524 1
"ENSG00000129625" "REEP5" 5 112876385 112922289 1 1 1
"ENSG00000129636" "ITFG1" 16 47154387 47464149 1 1 1
"ENSG00000129646" "QRICH2" 17 76274049 76308276 1 1 1
"ENSG00000129654" "FOXJ1" 17 76136333 76141245 0.219634016985854 0.851960808507704 1
"ENSG00000129657" "SEC14L1" 17 77088749 77217101 1 1 1
"ENSG00000129667" "RHBDF2" 17 76470891 76501790 1 1 1
"ENSG00000129673" "AANAT" 17 76453351 76470117 1 1 1
"ENSG00000129691" "ASH2L" 8 38105493 38144076 1 1 1
"ENSG00000129696" "TTI2" 8 33473386 33513185 1 1 1
"ENSG00000129744" "ART1" 11 3645128 3664416 1 1 1
"ENSG00000129749" "CHRNA10" 11 3665587 3671384 1 1 1
"ENSG00000129757" "CDKN1C" 11 2883213 2885775 0.00253270448896584 0.0204656562819942 1
"ENSG00000129810" "SGO1" 3 20160593 20186206 8.30136908105316e-10 3.79624863515416e-08 1.5488694431429e-05
"ENSG00000129910" "CDH15" 16 89171748 89195492 0.725064353733283 1 1
"ENSG00000129911" "KLF16" 19 1852399 1863579 1 1 1
"ENSG00000129925" "PGAP6" 16 370788 387113 1 1 1
"ENSG00000129932" "DOHH" 19 3490821 3500674 1 1 1
"ENSG00000129933" "MAU2" 19 19320829 19358754 1 1 1
"ENSG00000129946" "SHC2" 19 416589 461033 0.658855139909252 1 1
"ENSG00000129951" "PLPPR3" 19 812488 821955 0.0285831242171949 0.160103251769566 1
"ENSG00000129965" "INS-IGF2" 11 2132538 2161209 1 1 1
"ENSG00000129968" "ABHD17A" 19 1876810 1885496 1 1 1
"ENSG00000129988" "LBP" 20 38346482 38377013 0.0253701607573545 0.144890253875335 1
"ENSG00000129990" "SYT5" 19 55171196 55180289 0.000255279250357325 0.00274682828902362 1
"ENSG00000129991" "TNNI3" 19 55151767 55157773 1 1 1
"ENSG00000129993" "CBFA2T3" 16 88874858 88977207 1 1 1
"ENSG00000130005" "GAMT" 19 1397026 1401570 8.25055402917998e-09 2.93216832526552e-07 0.00015393883707644
"ENSG00000130023" "ERMARD" 6 169751622 169781600 1 1 1
"ENSG00000130024" "PHF10" 6 169703902 169725566 1 1 1
"ENSG00000130035" "GALNT8" 12 4720400 4851927 0.000426616319250406 0.00432833457562483 1
"ENSG00000130037" "KCNA5" 12 5043879 5046788 4.76126560320682e-07 1.07941304525678e-05 0.00888356936246329
"ENSG00000130038" "CRACR2A" 12 3606633 3764819 1 1 1
"ENSG00000130045" "NXNL2" 9 88534033 88584274 1 1 1
"ENSG00000130147" "SH3BP4" 2 234952017 235055714 2.64402794173049e-20 4.1110227780673e-17 4.93322733368075e-16
"ENSG00000130158" "DOCK6" 19 11199295 11262524 0.149417263561391 0.627182745450715 1
"ENSG00000130159" "ECSIT" 19 11505929 11529172 1 1 1
"ENSG00000130164" "LDLR" 19 11089418 11133820 0.32601469589761 1 1
"ENSG00000130165" "ELOF1" 19 11551147 11559230 1 1 1
"ENSG00000130167" "TSPAN16" 19 11296139 11326996 1 1 1
"ENSG00000130173" "ANGPTL8" 19 11237502 11241943 1 1 1
"ENSG00000130175" "PRKCSH" 19 11435284 11450968 1 1 1
"ENSG00000130176" "CNN1" 19 11538767 11550323 1 1 1
"ENSG00000130177" "CDC16" 13 114234887 114272723 1 1 1
"ENSG00000130182" "ZSCAN10" 16 3088890 3099295 1 1 1
"ENSG00000130193" "THEM6" 8 142727223 142736927 1 1 1
"ENSG00000130202" "NECTIN2" 19 44846175 44889223 5.27883479334133e-06 8.9376133914848e-05 0.0984924995741625
"ENSG00000130203" "APOE" 19 44905791 44909393 0.000979970310065335 0.00890179456923029 1
"ENSG00000130204" "TOMM40" 19 44890569 44903689 1 1 1
"ENSG00000130208" "APOC1" 19 44914247 44919349 0.0024922764841658 0.0202089937599154 1
"ENSG00000130222" "GADD45G" 9 89605012 89606555 7.01723510779186e-10 3.26502674915662e-08 1.30927572641181e-05
"ENSG00000130226" "DPP6" 7 153748133 154894285 1 1 1
"ENSG00000130227" "XPO7" 8 21919662 22006585 1 1 1
"ENSG00000130244" "FAM98C" 19 38403093 38409088 1 1 1
"ENSG00000130254" "SAFB2" 19 5586981 5624046 1 1 1
"ENSG00000130255" "RPL36" 19 5674947 5691875 1 1 1
"ENSG00000130270" "ATP8B3" 19 1782075 1812276 0.0205001932401872 0.12103635966803 1
"ENSG00000130283" "GDF1" 19 18868545 18896158 1 1 1
"ENSG00000130287" "NCAN" 19 19211958 19252233 3.35087281252432e-05 0.000455026091237837 0.625205849360788
"ENSG00000130294" "KIF1A" 2 240713761 240824293 0.630544023239548 1 1
"ENSG00000130299" "GTPBP3" 19 17334920 17342731 1 1 1
"ENSG00000130300" "PLVAP" 19 17351450 17377342 0.225520014335744 0.870089418419421 1
"ENSG00000130303" "BST2" 19 17402939 17405630 1 1 1
"ENSG00000130304" "SLC27A1" 19 17468769 17506168 1 1 1
"ENSG00000130305" "NSUN5" 7 73302516 73308826 1 1 1
"ENSG00000130307" "USHBP1" 19 17249171 17282786 1 1 1
"ENSG00000130309" "COLGALT1" 19 17555649 17583162 1 1 1
"ENSG00000130311" "DDA1" 19 17309518 17323298 1 1 1
"ENSG00000130312" "MRPL34" 19 17292609 17306843 1 1 1
"ENSG00000130313" "PGLS" 19 17511636 17521288 1 1 1
"ENSG00000130332" "LSM7" 19 2321520 2328611 1 1 1
"ENSG00000130338" "TULP4" 6 158232236 158511828 1 1 1
"ENSG00000130340" "SNX9" 6 157700387 157945077 0.155024115629916 0.647512860851348 1
"ENSG00000130347" "RTN4IP1" 6 106570771 106629498 1 1 1
"ENSG00000130348" "QRSL1" 6 106629578 106668417 1 1 1
"ENSG00000130349" "MTRES1" 6 107028199 107051586 1 1 1
"ENSG00000130363" "RSPH3" 6 158970084 159000202 1 1 1
"ENSG00000130368" "MAS1" 6 159890988 159917447 1 1 1
"ENSG00000130377" "ACSBG2" 19 6135247 6193094 9.21759408829958e-05 0.0011102767624241 1
"ENSG00000130382" "MLLT1" 19 6210381 6279975 1 1 1
"ENSG00000130383" "FUT5" 19 5865826 5870540 0.720568465464262 1 1
"ENSG00000130396" "AFDN" 6 167826893 167972023 0.000570787311130953 0.0055757851576342 1
"ENSG00000130402" "ACTN4" 19 38647649 38731589 1 1 1
"ENSG00000130413" "STK33" 11 8391868 8594289 2.93855565498188e-06 5.38581251578113e-05 0.0548275714106519
"ENSG00000130414" "NDUFA10" 2 239892450 240025743 1 1 1
"ENSG00000130427" "EPO" 7 100720468 100723700 1 1 1
"ENSG00000130429" "ARPC1B" 7 99374249 99394816 1 1 1
"ENSG00000130433" "CACNG6" 19 53991637 54012666 5.69412186320629e-10 2.74524355875201e-08 1.06240925723703e-05
"ENSG00000130449" "ZSWIM6" 5 61332258 61546172 1 1 1
"ENSG00000130475" "FCHO1" 19 17747718 17788568 1 1 1
"ENSG00000130477" "UNC13A" 19 17601336 17688365 1.99310436770696e-14 3.35021092726815e-12 3.71873412926764e-10
"ENSG00000130479" "MAP1S" 19 17719242 17734513 1 1 1
"ENSG00000130487" "KLHDC7B" 22 50545899 50551023 0.00102012657849512 0.00923061188242578 1
"ENSG00000130508" "PXDN" 2 1631887 1744852 4.83974397628515e-07 1.09587309598942e-05 0.00902999431095283
"ENSG00000130511" "SSBP4" 19 18418864 18434562 0.0669290450010158 0.325537570810468 1
"ENSG00000130513" "GDF15" 19 18374731 18389176 0.504179606104016 1 1
"ENSG00000130517" "PGPEP1" 19 18340598 18369950 1 1 1
"ENSG00000130518" "IQCN" 19 18257098 18274500 1.15189658761227e-05 0.000178654085882542 0.214920865316698
"ENSG00000130520" "LSM4" 19 18306236 18323112 1 1 1
"ENSG00000130522" "JUND" 19 18279694 18281622 1 1 1
"ENSG00000130528" "HRC" 19 49151198 49155396 0.1896321134857 0.758284606390097 1
"ENSG00000130529" "TRPM4" 19 49157741 49211836 0.0482633694336007 0.248893849334472 1
"ENSG00000130538" "OR11H1" 22 15528192 15529139 1 1 1
"ENSG00000130540" "SULT4A1" 22 43824509 43862513 1 1 1
"ENSG00000130544" "ZNF557" 19 7069703 7087968 1 1 1
"ENSG00000130545" "CRB3" 19 6463777 6467221 0.00194444918234357 0.0162834528025881 1
"ENSG00000130558" "OLFM1" 9 135075422 135121180 0.0468516969210948 0.242485148725045 1
"ENSG00000130559" "CAMSAP1" 9 135808487 135907546 1 1 1
"ENSG00000130560" "UBAC1" 9 135932969 135961373 1 1 1
"ENSG00000130561" "SAG" 2 233307816 233347055 1 1 1
"ENSG00000130584" "ZBTB46" 20 63743668 63832038 0.00277307919230271 0.0220546085123546 1
"ENSG00000130589" "HELZ2" 20 63558086 63574239 0.0262031515347251 0.148736964202891 1
"ENSG00000130590" "SAMD10" 20 63974116 63980008 1 1 1
"ENSG00000130592" "LSP1" 11 1850904 1892267 0.0482249281982295 0.248764365585448 1
"ENSG00000130595" "TNNT3" 11 1919703 1938706 0.000686950427615595 0.00652270792796528 1
"ENSG00000130598" "TNNI2" 11 1838981 1841680 0.0555009737219763 0.27822062539082 1
"ENSG00000130635" "COL5A1" 9 134641803 134844843 0.2790726283293 1 1
"ENSG00000130638" "ATXN10" 22 45671798 45845307 1 1 1
"ENSG00000130640" "TUBGCP2" 10 133278635 133318823 1 1 1
"ENSG00000130643" "CALY" 10 133324072 133336935 1 1 1
"ENSG00000130649" "CYP2E1" 10 133520406 133561220 0.0145285329033677 0.0907206716569725 1
"ENSG00000130653" "PNPLA7" 9 137459952 137550402 6.08923463510092e-06 0.000101169136083449 0.113612939821713
"ENSG00000130656" "HBZ" 16 142728 154503 1 1 1
"ENSG00000130669" "PAK4" 19 39125770 39182816 1 1 1
"ENSG00000130675" "MNX1" 7 156994051 157010663 0.00312537063865538 0.0242928357314866 1
"ENSG00000130684" "ZNF337" 20 25673195 25696853 1 1 1
"ENSG00000130695" "CEP85" 1 26234200 26278808 1 1 1
"ENSG00000130699" "TAF4" 20 61953469 62065881 1 1 1
"ENSG00000130700" "GATA5" 20 62463497 62475995 1 1 1
"ENSG00000130701" "RBBP8NL" 20 62410237 62427539 1 1 1
"ENSG00000130702" "LAMA5" 20 62307955 62367312 6.80015555149774e-05 0.000849901922568473 1
"ENSG00000130703" "OSBPL2" 20 62231922 62296213 1 1 1
"ENSG00000130706" "ADRM1" 20 62302093 62308862 1 1 1
"ENSG00000130707" "ASS1" 9 130444961 130501274 0.000311599223371897 0.00328464311280952 1
"ENSG00000130711" "PRDM12" 9 130664594 130682986 0.595645094809621 1 1
"ENSG00000130713" "EXOSC2" 9 130693721 130707288 1 1 1
"ENSG00000130714" "POMT1" 9 131502789 131523806 1 1 1
"ENSG00000130717" "UCK1" 9 131523801 131531264 1 1 1
"ENSG00000130720" "FIBCD1" 9 130902438 130939286 1 1 1
"ENSG00000130724" "CHMP2A" 19 58551452 58555105 1 1 1
"ENSG00000130725" "UBE2M" 19 58555712 58558954 1 1 1
"ENSG00000130726" "TRIM28" 19 58544064 58550722 1 1 1
"ENSG00000130731" "METTL26" 16 634427 636366 1 1 1
"ENSG00000130733" "YIPF2" 19 10922185 10928681 1 1 1
"ENSG00000130734" "ATG4D" 19 10543895 10553418 1 1 1
"ENSG00000130748" "TMEM160" 19 47045909 47048624 1 1 1
"ENSG00000130749" "ZC3H4" 19 47064187 47113776 1 1 1
"ENSG00000130751" "NPAS1" 19 47019837 47045775 0.253769050944334 0.959437275079914 1
"ENSG00000130755" "GMFG" 19 39328353 39342372 1 1 1
"ENSG00000130758" "MAP3K10" 19 40191426 40215575 1 1 1
"ENSG00000130762" "ARHGEF16" 1 3454665 3481113 0.00683326422506283 0.0479845855894702 1
"ENSG00000130764" "LRRC47" 1 3778559 3796498 1 1 1
"ENSG00000130766" "SESN2" 1 28259518 28282491 0.00705682160502842 0.0493686454842971 1
"ENSG00000130768" "SMPDL3B" 1 27935000 27959157 0.0257031490413992 0.146522870398542 1
"ENSG00000130770" "ATP5IF1" 1 28236109 28246906 1 1 1
"ENSG00000130772" "MED18" 1 28329002 28335965 1 1 1
"ENSG00000130775" "THEMIS2" 1 27872543 27886685 0.0336506676317434 0.183475790962323 1
"ENSG00000130779" "CLIP1" 12 122271432 122422669 1 1 1
"ENSG00000130783" "CCDC62" 12 122774526 122827528 1 1 1
"ENSG00000130787" "HIP1R" 12 122834453 122862961 1 1 1
"ENSG00000130803" "ZNF317" 19 9140397 9163424 1 1 1
"ENSG00000130810" "PPAN" 19 10106362 10112012 1 1 1
"ENSG00000130811" "EIF3G" 19 10115014 10119918 1 1 1
"ENSG00000130812" "ANGPTL6" 19 10092338 10102678 0.00801038767617793 0.054988157933086 1
"ENSG00000130813" "SHFL" 19 10086122 10093252 1 1 1
"ENSG00000130816" "DNMT1" 19 10133342 10231286 1 1 1
"ENSG00000130818" "ZNF426" 19 9523223 9538645 3.40027763259269e-06 6.10022885278023e-05 0.0634423800689144
"ENSG00000130844" "ZNF331" 19 53519527 53580269 0.011193441148685 0.0724912269879086 1
"ENSG00000130856" "ZNF236" 18 76822557 76972901 1 1 1
"ENSG00000130876" "SLC7A10" 19 33208664 33225850 0.00852527203434777 0.0579259015356375 1
"ENSG00000130881" "LRP3" 19 33177603 33208864 0.0753439246224503 0.359347378733558 1
"ENSG00000130921" "MTRFR" 12 123233385 123258079 1 1 1
"ENSG00000130935" "NOL11" 17 67717931 67744531 1 1 1
"ENSG00000130939" "UBE4B" 1 10032832 10181239 1 1 1
"ENSG00000130940" "CASZ1" 1 10636604 10796650 0.954612476194925 1 1
"ENSG00000130943" "PKDREJ" 22 46255663 46263343 0.0976758145013535 0.444063193705228 1
"ENSG00000130948" "HSD17B3" 9 96235306 96302176 0.00937521100553275 0.0628540017755048 1
"ENSG00000130950" "NUTM2F" 9 94318198 94328644 0.300361879257759 1 1
"ENSG00000130956" "HABP4" 9 96450169 96491336 1 1 1
"ENSG00000130957" "FBP2" 9 94558720 94593824 0.830929845834196 1 1
"ENSG00000130958" "SLC35D2" 9 96313444 96383711 3.69713248970538e-09 1.43411846139133e-07 6.8981097992923e-05
"ENSG00000130997" "POLN" 4 2071918 2242121 1 1 1
"ENSG00000131013" "PPIL4" 6 149504495 149546043 1 1 1
"ENSG00000131015" "ULBP2" 6 149942014 149949235 0.00015631642425734 0.00179192443550266 1
"ENSG00000131016" "AKAP12" 6 151239967 151358559 2.00614388446876e-06 3.86680088805973e-05 0.0374306325964181
"ENSG00000131018" "SYNE1" 6 152121687 152637801 1 1 1
"ENSG00000131019" "ULBP3" 6 150061053 150069121 0.0146397727241217 0.0912523097109681 1
"ENSG00000131023" "LATS1" 6 149658153 149718105 1 1 1
"ENSG00000131037" "EPS8L1" 19 55072020 55087923 0.0474719770852366 0.24528721917927 1
"ENSG00000131042" "LILRB2" 19 54273812 54281184 0.242315746405968 0.924376854721438 1
"ENSG00000131043" "AAR2" 20 36236131 36270918 1 1 1
"ENSG00000131044" "TTLL9" 20 31870634 31945000 0.052681115660951 0.267244224035352 1
"ENSG00000131050" "BPIFA2" 20 33161768 33181412 1 1 1
"ENSG00000131051" "RBM39" 20 35701347 35742312 1 1 1
"ENSG00000131055" "COX4I2" 20 31637912 31645006 1 1 1
"ENSG00000131059" "BPIFA3" 20 33217310 33227806 1 1 1
"ENSG00000131061" "ZNF341" 20 33731657 33792269 1 1 1
"ENSG00000131067" "GGT7" 20 34844720 34872856 1 1 1
"ENSG00000131068" "DEFB118" 20 31368601 31373923 1 1 1
"ENSG00000131069" "ACSS2" 20 34872146 34927962 1 1 1
"ENSG00000131094" "C1QL1" 17 44959693 44968303 1 1 1
"ENSG00000131095" "GFAP" 17 44903159 44916937 1 1 1
"ENSG00000131096" "PYY" 17 43952733 44004469 1 1 1
"ENSG00000131097" "HIGD1B" 17 44846353 44850476 1 1 1
"ENSG00000131100" "ATP6V1E1" 22 17592136 17628749 1 1 1
"ENSG00000131115" "ZNF227" 19 44207547 44237268 1 1 1
"ENSG00000131116" "ZNF428" 19 43607224 43619629 1 1 1
"ENSG00000131126" "TEX101" 19 43401496 43418597 0.000291545912462938 0.00310305968895236 1
"ENSG00000131127" "ZNF141" 4 337814 384868 0.248229331965 0.942695476450838 1
"ENSG00000131142" "CCL25" 19 8052318 8062660 0.206548960209684 0.811067357693017 1
"ENSG00000131143" "COX4I1" 16 85798633 85807068 1 1 1
"ENSG00000131148" "EMC8" 16 85771758 85799608 1 1 1
"ENSG00000131149" "GSE1" 16 85169525 85676204 1 1 1
"ENSG00000131152" "" 16 87302876 87334273 0.00490492483262771 0.036086785302511 1
"ENSG00000131153" "GINS2" 16 85676198 85690073 1.68771909468262e-06 3.31817311576272e-05 0.0314894628685882
"ENSG00000131165" "CHMP1A" 16 89640816 89657738 1 1 1
"ENSG00000131183" "SLC34A1" 5 177379235 177398848 1 1 1
"ENSG00000131187" "F12" 5 177402133 177416583 0.000308582231145787 0.00325792062278731 1
"ENSG00000131188" "PRR7" 5 177446445 177456286 1.9784798363923e-06 3.82930257130783e-05 0.0369144767874075
"ENSG00000131196" "NFATC1" 18 79395856 79529325 0.00534207559626167 0.0388738090776327 1
"ENSG00000131203" "IDO1" 8 39902275 39928790 0.117187064291601 0.514343976841376 1
"ENSG00000131233" "GJA9" 1 38874069 38881587 0.00415275371141676 0.0311423146091695 1
"ENSG00000131236" "CAP1" 1 40040233 40072649 1 1 1
"ENSG00000131238" "PPT1" 1 40072710 40097260 1 1 1
"ENSG00000131242" "RAB11FIP4" 17 31391675 31538211 1 1 1
"ENSG00000131323" "TRAF3" 14 102777449 102911500 0.00275955334860053 0.0219751371652534 1
"ENSG00000131351" "HAUS8" 19 17049729 17075625 1 1 1
"ENSG00000131355" "ADGRE3" 19 14599080 14690027 0.633463601920261 1 1
"ENSG00000131368" "MRPS25" 3 15009611 15065339 1 1 1
"ENSG00000131370" "SH3BP5" 3 15254353 15341368 6.87794434891892e-05 0.000856666793472158 1
"ENSG00000131373" "HACL1" 3 15560699 15601852 1 1 1
"ENSG00000131374" "TBC1D5" 3 17157162 18444817 1 1 1
"ENSG00000131375" "CAPN7" 3 15206152 15252916 1 1 1
"ENSG00000131378" "RFTN1" 3 16313574 16514026 0.222575206319785 0.860507293724524 1
"ENSG00000131379" "C3orf20" 3 14675141 14773036 0.0669769117946481 0.325685488731963 1
"ENSG00000131381" "RBSN" 3 15070069 15099163 1 1 1
"ENSG00000131386" "GALNT15" 3 16174680 16231992 0.00260862999242895 0.0209404250097914 1
"ENSG00000131389" "SLC6A6" 3 14402576 14489349 0.117939728725378 0.517282430314552 1
"ENSG00000131398" "KCNC3" 19 50311937 50333515 2.43306004347076e-13 2.98316929196953e-11 4.53960342910775e-09
"ENSG00000131400" "NAPSA" 19 50358472 50365830 0.0014970747622052 0.0129496619903684 1
"ENSG00000131408" "NR1H2" 19 50329653 50383388 1 1 1
"ENSG00000131409" "LRRC4B" 19 50516892 50568435 0.725613322737066 1 1
"ENSG00000131435" "PDLIM4" 5 132257696 132273454 0.0746654447570633 0.35647591306993 1
"ENSG00000131437" "KIF3A" 5 132692628 132737638 1 1 1
"ENSG00000131446" "MGAT1" 5 180784780 180815652 1 1 1
"ENSG00000131459" "GFPT2" 5 180300698 180353336 0.0840721227675825 0.392448753214299 1
"ENSG00000131462" "TUBG1" 17 42609641 42615238 1 1 1
"ENSG00000131467" "PSME3" 17 42824385 42843760 1 1 1
"ENSG00000131469" "RPL27" 17 42998273 43002959 1 1 1
"ENSG00000131470" "PSMC3IP" 17 42572310 42577831 1 1 1
"ENSG00000131471" "AOC3" 17 42851184 42858130 0.389466310078717 1 1
"ENSG00000131473" "ACLY" 17 41866917 41930542 1 1 1
"ENSG00000131475" "VPS25" 17 42773449 42779599 1 1 1
"ENSG00000131477" "RAMP2" 17 42758447 42763041 0.276125497099778 1 1
"ENSG00000131480" "AOC2" 17 42844580 42850707 0.511288616442118 1 1
"ENSG00000131482" "G6PC1" 17 42900797 42914438 1 1 1
"ENSG00000131495" "NDUFA2" 5 140638740 140647771 1 1 1
"ENSG00000131503" "ANKHD1" 5 140401814 140539856 1 1 1
"ENSG00000131504" "DIAPH1" 5 141515016 141619055 1 1 1
"ENSG00000131507" "NDFIP1" 5 142108779 142154440 1 1 1
"ENSG00000131508" "UBE2D2" 5 139526431 139628434 1 1 1
"ENSG00000131558" "EXOC4" 7 133253072 134067137 1 1 1
"ENSG00000131584" "ACAP3" 1 1292390 1309609 1 1 1
"ENSG00000131591" "C1orf159" 1 1081818 1116361 1 1 1
"ENSG00000131620" "ANO1" 11 69985907 70189530 0.285428204888863 1 1
"ENSG00000131626" "PPFIA1" 11 70270690 70385312 1 1 1
"ENSG00000131634" "TMEM204" 16 1528688 1555580 0.398285089227507 1 1
"ENSG00000131650" "KREMEN2" 16 2964216 2968380 0.0222500637655234 0.129569815773138 1
"ENSG00000131652" "THOC6" 16 3024027 3027755 1 1 1
"ENSG00000131653" "TRAF7" 16 2155698 2178129 1 1 1
"ENSG00000131668" "BARX1" 9 93951627 93955355 1 1 1
"ENSG00000131669" "NINJ1" 9 93121496 93134251 0.0114569073512543 0.0738419117885182 1
"ENSG00000131686" "CA6" 1 8945867 8975092 1 1 1
"ENSG00000131697" "NPHP4" 1 5862811 5992473 1 1 1
"ENSG00000131711" "MAP1B" 5 72107234 72209565 2.33231958869582e-07 5.72584459024824e-06 0.00435164188858866
"ENSG00000131730" "CKMT2" 5 81233320 81266398 0.489782444923337 1 1
"ENSG00000131732" "ZCCHC9" 5 81301587 81313297 1 1 1
"ENSG00000131737" "KRT34" 17 41377669 41382306 1 1 1
"ENSG00000131738" "KRT33B" 17 41363498 41369813 1 1 1
"ENSG00000131746" "TNS4" 17 40475828 40501623 1 1 1
"ENSG00000131747" "TOP2A" 17 40388525 40417896 1.72575321287127e-12 1.70365626697101e-10 3.21991034457521e-08
"ENSG00000131748" "STARD3" 17 39637090 39664201 1 1 1
